# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/,Paid Search,10,7,5,2,50.4,32,0,0
/global/archives/10535,Organic Search,10,12,10,1,11.7,44,0,0
/global/archives/11037,Referral,10,9,9,1.1111111111111112,53.333333333333336,44,0,0
/global/archives/12190,Organic Search,10,10,10,1,65.9,41,0,0
/global/archives/12667,Organic Search,10,8,6,1.6666666666666667,51.5,42,0,0
/global/archives/12950,Organic Search,10,10,10,1,12.6,45,0,0
/global/archives/14766,Direct,10,14,9,1.1111111111111112,45,44,0,0
/global/archives/15007,Organic Search,10,11,8,1.25,30.625,49,0,0
/global/archives/15687,Referral,10,10,8,1.25,239.25,42,0,0
/global/archives/15937,Paid Search,10,10,3,3.3333333333333335,1.3333333333333333,30,0,0
/global/archives/16613,Paid Search,10,8,3,3.3333333333333335,32.666666666666664,33,0,0
/global/archives/17796,Organic Search,10,9,9,1.1111111111111112,34.22222222222222,37,0,0
/global/archives/18140,Organic Search,10,10,9,1.1111111111111112,16.88888888888889,39,0,0
/global/archives/18301,Organic Search,10,10,10,1,63.9,49,0,0
/global/archives/18361,Organic Social,10,11,7,1.4285714285714286,14.285714285714286,39,0,0
/global/archives/18436,Organic Social,10,10,8,1.25,25.5,45,0,0
/global/archives/18478,Unassigned,10,8,8,1.25,10.375,38,0,0
/global/archives/3464,Organic Search,10,12,8,1.25,36.75,43,0,0
/global/archives/6313,Organic Search,10,12,8,1.25,15.875,45,0,0
