# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240201
# 종료일: 20240229
페이지 경로 및 화면 클래스,세션 소스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/archives/51077,naver.com,16,13,1.2307692307692308,20.307692307692307,68,0,0
/archives/54522,google,16,12,1.3333333333333333,28.75,75,0,0
/archives/85894,google,16,14,1.1428571428571428,45.857142857142854,72,0,0
/archives/90543,google,16,13,1.2307692307692308,32.76923076923077,79,0,0
/archives/90963,google,16,14,1.1428571428571428,61.42857142857143,71,0,0
/archives/93780,naver,16,4,4,127.5,61,0,0
/archives/97693,google,16,12,1.3333333333333333,60.583333333333336,77,0,0
/archives/98605,google,16,15,1.0666666666666667,40.666666666666664,78,0,0
/archives/category/business/sk-on,m.search.naver.com,16,14,1.1428571428571428,22.857142857142858,74,0,0
/archives/category/industry-and-insight/inno-column,(direct),16,11,1.4545454545454546,11.818181818181818,59,0,0
